Date,search,pm10,pm25,COUNT_T,TMST,retail
20180603,0.02244,36.994,24.174,70.0,1784.873,0.912
20180604,0.02244,44.785,29.564,120.0,2245.807,0.816
20180605,0.02244,48.563,34.869,139.0,2341.685,0.859
20180606,0.02244,57.364,41.163,68.0,1814.582,0.961
20180607,0.02244,74.803,57.208,180.0,2288.944,0.852
20180608,0.02244,54.044,36.866,117.0,2383.409,0.857
20180609,0.02244,50.402,35.964,52.0,1973.685,1.048
20180610,0.01452,14.906,9.592,77.0,1700.547,0.766
20180611,0.01452,16.872,8.802,113.0,2171.378,0.774
20180612,0.01452,25.683,17.333,111.0,2371.179,0.789
20180613,0.01452,40.289,27.953,57.0,1810.024,0.871
20180614,0.01452,44.646,32.659,89.0,2292.706,0.818
20180615,0.01452,25.328,16.982,118.0,2354.43,0.816
20180616,0.01452,33.808,19.496,62.0,2073.602,0.902
20180617,0.01848,74.233,50.895,105.0,1665.964,1.065
20180618,0.01848,55.581,38.006,104.0,2135.399,0.957
20180619,0.01848,45.696,33.639,92.0,2220.339,0.798
20180620,0.01848,58.178,43.572,81.0,2314.804,0.904
20180621,0.01848,55.107,39.094,103.0,2315.97,0.832
20180622,0.01848,57.544,40.71,60.0,2311.625,0.897
20180623,0.01848,49.31,31.247,64.0,2024.592,1.034
20180624,0.01848,71.456,52.416,132.0,1592.991,0.861
20180625,0.01848,63.658,43.662,116.0,2093.912,0.896
20180626,0.01848,56.379,42.269,116.0,2038.156,0.615
20180627,0.01848,45.622,34.367,76.0,2122.549,0.876
20180628,0.01848,36.753,26.444,146.0,2230.212,0.822
20180629,0.01848,54.242,44.876,38.0,2452.087,0.944
20180630,0.01848,65.047,50.931,9.0,2198.97,0.949
20180701,0.0066,16.374,10.822,26.0,1368.896,0.649
20180702,0.0066,14.924,7.252,86.0,2340.473,0.691
20180703,0.0066,17.858,12.29,53.0,2534.166,0.929
20180704,0.0066,28.13,14.874,63.0,2575.833,0.873
20180705,0.0066,27.102,18.517,53.0,2556.42,0.791
20180706,0.0066,8.335,3.184,180.0,2630.508,0.913
20180707,0.0066,14.574,7.361,36.0,2252.878,0.916
20180708,0.00792,23.825,16.479,56.0,1795.339,0.886
20180709,0.00792,14.08,6.367,59.0,2280.034,0.663
20180710,0.00792,21.928,9.177,62.0,2622.233,0.713
20180711,0.00792,33.882,16.797,78.0,2799.233,0.77
20180712,0.00792,31.546,14.143,92.0,2940.516,1.012
20180713,0.00792,25.445,9.45,27.0,2695.499,0.935
20180714,0.00792,24.29,11.285,21.0,2188.653,0.998
20180715,0.00792,23.738,13.395,51.0,1698.895,1.035
20180716,0.00792,24.899,13.582,30.0,2377.895,0.893
20180717,0.00792,26.736,17.094,80.0,2481.928,0.871
20180718,0.00792,33.513,23.734,114.0,2511.335,1.04
20180719,0.00792,26.478,16.521,83.0,2461.241,0.817
20180720,0.00792,36.062,22.168,69.0,2527.3,0.899
20180721,0.00792,35.106,22.822,80.0,1923.33,0.802
20180722,0.0066,26.249,17.16,26.0,1615.005,0.852
20180723,0.0066,34.886,19.674,50.0,2353.38,0.828
20180724,0.0066,40.48,27.012,53.0,2364.727,0.807
20180725,0.0066,31.84,22.401,56.0,2452.192,0.733
20180726,0.0066,38.55,29.122,93.0,2385.435,0.729
20180727,0.0066,40.827,28.697,51.0,2370.268,0.724
20180728,0.0066,30.757,20.872,17.0,1898.423,0.788
20180729,0.00528,18.213,12.618,20.0,1617.173,0.745
20180730,0.00528,12.156,5.575,51.0,2162.809,0.711
20180731,0.00528,21.047,11.077,72.0,2178.223,0.729
20180801,0.00528,31.28,16.625,22.0,2243.658,0.828
20180802,0.00528,37.755,22.394,33.0,2198.745,0.831
20180803,0.00528,39.674,26.413,84.0,2204.309,0.866
20180804,0.00528,27.904,17.222,20.0,1811.41,0.807
20180805,0.00528,32.164,19.873,23.0,1492.35,0.672
20180806,0.00528,31.685,18.774,57.0,2123.075,0.659
20180807,0.00528,21.12,11.693,122.0,2199.057,0.698
20180808,0.00528,26.058,15.918,49.0,2282.192,0.755
20180809,0.00528,22.15,14.779,59.0,2432.946,0.678
20180810,0.00528,17.64,9.85,16.0,2326.706,0.764
20180811,0.00528,14.411,7.785,16.0,1813.37,0.801
20180812,0.00396,21.14,14.095,14.0,1559.448,0.694
20180813,0.00396,32.531,23.067,27.0,2155.363,0.709
20180814,0.00396,29.201,16.467,14.0,2301.091,0.781
20180815,0.00396,27.014,18.149,10.0,1863.103,0.868
20180816,0.00396,20.509,9.733,36.0,2283.318,0.711
20180817,0.00396,21.133,8.092,20.0,2418.608,0.735
20180818,0.00396,26.221,10.056,13.0,1986.8,0.749
20180819,0.00528,29.135,13.442,14.0,1632.883,0.873
20180820,0.00528,39.444,23.977,36.0,2197.804,0.686
20180821,0.00528,27.631,13.379,75.0,2368.12,0.716
20180822,0.00528,28.739,13.791,37.0,2409.965,0.798
20180823,0.00528,19.865,7.598,11.0,2260.217,0.767
20180824,0.00528,15.664,6.346,16.0,2209.938,0.648
20180825,0.00528,28.442,11.819,15.0,2232.825,0.756
20180826,0.00264,21.541,9.608,18.0,1676.315,0.683
20180827,0.00264,13.403,5.368,49.0,2238.363,0.705
20180828,0.00264,16.817,5.815,49.0,2335.536,0.689
20180829,0.00264,23.908,9.768,17.0,2278.718,0.767
20180830,0.00264,33.29,17.639,55.0,2321.802,0.756
20180831,0.00264,27.626,13.835,59.0,2535.891,0.833
20180901,0.00264,25.342,9.586,18.0,2155.784,0.818
20180902,0.00528,21.523,8.417,43.0,1821.335,0.761
20180903,0.00528,22.433,8.435,60.0,2304.226,0.658
20180904,0.00528,22.822,8.98,44.0,2514.442,0.805
20180905,0.00528,35.506,9.399,59.0,2675.798,2.053
20180906,0.00528,39.474,21.825,60.0,2562.462,0.772
20180907,0.00528,33.346,15.126,39.0,2562.273,0.831
20180908,0.00528,30.283,8.298,12.0,2346.052,0.891
20180909,0.00264,27.197,9.867,38.0,1927.688,0.793
20180910,0.00264,20.986,7.849,41.0,2485.79,0.764
20180911,0.00264,20.583,6.619,49.0,2605.866,0.796
20180912,0.00264,23.249,10.031,52.0,2695.857,0.867
20180913,0.00264,27.314,13.256,67.0,2615.103,0.746
20180914,0.00264,26.039,16.736,19.0,2599.683,0.796
20180915,0.00264,18.012,8.997,14.0,2183.095,0.813
20180916,0.00396,41.618,28.688,12.0,1699.301,0.793
20180917,0.00396,32.03,18.054,54.0,2553.173,0.719
20180918,0.00396,45.351,22.576,76.0,2551.365,0.921
20180919,0.00396,48.335,26.246,54.0,2676.293,0.762
20180920,0.00396,21.86,14.249,48.0,2704.585,0.731
20180921,0.00396,11.885,5.603,20.0,2623.102,0.686
20180922,0.00396,45.999,23.378,15.0,1882.954,0.693
20180923,0.00264,36.561,14.122,15.0,1663.325,0.635
20180924,0.00264,22.051,10.247,5.0,1978.688,0.7
20180925,0.00264,19.226,8.854,7.0,2119.183,0.656
20180926,0.00264,12.649,5.562,10.0,1909.574,0.695
20180927,0.00264,12.128,5.037,37.0,2338.049,0.633
20180928,0.00264,20.152,9.59,42.0,2494.953,0.73
20180929,0.00264,19.426,9.176,12.0,2241.117,0.772
20180930,0.00264,25.603,15.405,19.0,1840.182,0.619
20181001,0.00264,22.15,12.936,61.0,2378.113,0.666
20181002,0.00264,26.724,14.657,38.0,2544.397,0.679
20181003,0.00264,29.371,16.66,13.0,2152.421,0.877
20181004,0.00264,24.166,14.34,82.0,2618.79,0.772
20181005,0.00264,14.677,7.186,22.0,2412.727,0.721
20181006,0.00264,7.13,2.459,4.0,1812.129,0.67
20181007,0.00264,32.349,14.063,21.0,1887.02,0.739
20181008,0.00264,26.458,10.526,31.0,2411.618,0.722
20181009,0.00264,31.618,13.778,89.0,2101.008,0.701
20181010,0.00264,27.174,15.48,76.0,2554.453,0.651
20181011,0.00264,25.276,11.607,97.0,2557.076,0.652
20181012,0.00264,28.47,15.628,73.0,2656.268,0.717
20181013,0.00264,42.337,28.739,15.0,2567.937,0.795
20181014,0.01584,45.222,31.908,70.0,1986.569,0.76
20181015,0.01584,68.882,44.419,454.0,2354.199,0.704
20181016,0.01584,58.016,31.991,400.0,2469.837,0.714
20181017,0.01584,46.149,22.965,243.0,2624.926,0.68
20181018,0.01584,19.977,9.902,123.0,2529.631,0.709
20181019,0.01584,24.273,12.627,85.0,2598.471,0.767
20181020,0.01584,37.737,21.597,71.0,2536.265,0.865
20181021,0.01188,34.634,19.811,120.0,1993.667,0.88
20181022,0.01188,48.96,28.078,201.0,2429.062,0.652
20181023,0.01188,55.923,32.04,275.0,2478.022,0.641
20181024,0.01188,47.726,27.297,231.0,2742.369,0.698
20181025,0.01188,40.109,22.935,115.0,2224.096,0.685
20181026,0.01188,41.679,23.865,79.0,2496.18,0.7
20181027,0.01188,31.706,18.238,30.0,2767.94,0.797
20181028,0.00792,16.434,9.536,71.0,1800.482,0.674
20181029,0.00792,18.976,11.072,85.0,2323.625,0.635
20181030,0.00792,19.825,11.473,154.0,2553.022,0.632
20181031,0.00792,17.13,9.973,62.0,2679.762,0.662
20181101,0.00792,27.184,15.572,108.0,2555.909,0.692
20181102,0.00792,35.249,20.16,90.0,2743.726,0.681
20181103,0.00792,38.726,22.128,96.0,2874.829,0.735
20181104,0.05412,34.608,19.79,229.0,2046.145,0.699
20181105,0.05412,46.171,26.414,390.0,2850.966,0.606
20181106,0.05412,81.441,46.756,613.0,2494.909,0.673
20181107,0.05412,53.493,30.697,588.0,2505.705,0.663
20181108,0.05412,9.34,5.549,435.0,2464.147,0.562
20181109,0.05412,57.719,33.849,372.0,2722.018,0.742
20181110,0.05412,102.73,69.241,247.0,2200.82,0.84
20181111,0.0396,107.937,64.875,351.0,1651.991,0.797
20181112,0.0396,40.891,21.733,371.0,2240.57,0.607
20181113,0.0396,48.372,28.076,458.0,2109.32,0.623
20181114,0.0396,37.939,24.154,341.0,2021.276,0.705
20181115,0.0396,51.227,34.892,283.0,1993.947,0.626
20181116,0.0396,59.483,41.919,379.0,1987.688,0.653
20181117,0.0396,40.108,23.042,120.0,1664.748,0.674
20181118,0.0198,42.594,27.587,173.0,1303.445,0.786
20181119,0.0198,56.112,34.807,311.0,1645.276,0.574
20181120,0.0198,50.917,22.676,288.0,1655.131,0.64
20181121,0.0198,42.294,18.267,174.0,1504.953,0.588
20181122,0.0198,26.917,11.953,26.0,1540.242,0.666
20181123,0.0198,28.739,13.858,106.0,1800.675,0.641
20181124,0.0198,19.003,11.747,73.0,1256.175,0.652
20181125,0.05016,41.044,23.453,230.0,1229.255,0.627
20181126,0.05016,62.487,41.985,442.0,1578.798,0.674
20181127,0.05016,131.912,71.991,500.0,1619.538,0.687
20181128,0.05016,141.3,28.982,520.0,1719.692,0.652
20181129,0.05016,84.899,24.785,403.0,1692.926,0.613
20181130,0.05016,64.096,24.687,366.0,1766.114,0.676
20181201,0.05016,49.281,28.518,170.0,2066.088,0.69
20181202,0.01716,59.665,31.147,163.0,1661.464,0.651
20181203,0.01716,49.582,31.726,245.0,2167.712,0.614
20181204,0.01716,47.83,26.979,206.0,2315.915,0.612
20181205,0.01716,41.151,16.772,187.0,2387.605,0.648
20181206,0.01716,53.999,27.405,88.0,2148.358,0.594
20181207,0.01716,35.81,14.255,79.0,2115.27,0.627
20181208,0.01716,37.167,14.856,40.0,1771.226,0.589
20181209,0.00924,32.173,16.214,63.0,1361.488,0.534
20181210,0.00924,40.769,24.7,122.0,2241.96,0.577
20181211,0.00924,45.16,28.716,166.0,2174.596,0.621
20181212,0.00924,58.5,30.746,224.0,2075.01,0.567
20181213,0.00924,49.095,30.843,123.0,2072.215,0.6
20181214,0.00924,50.623,24.492,73.0,2306.338,0.595
20181215,0.00924,107.8,67.506,98.0,1941.845,0.648
20181216,0.03036,85.353,60.161,216.0,1447.623,0.702
20181217,0.03036,112.611,68.265,482.0,2181.842,0.559
20181218,0.03036,79.661,38.906,363.0,2287.805,0.579
20181219,0.03036,91.275,51.018,369.0,2320.183,0.599
20181220,0.03036,98.161,59.453,422.0,2122.604,0.591
20181221,0.03036,117.721,70.279,395.0,2355.314,0.695
20181222,0.03036,119.859,83.683,340.0,1951.553,0.741
20181223,0.0132,89.909,41.19,242.0,1558.631,0.644
20181224,0.0132,38.222,19.799,166.0,2083.722,0.62
20181225,0.0132,53.59,31.007,155.0,1579.074,0.574
20181226,0.0132,77.898,38.274,210.0,2129.561,0.598
20181227,0.0132,50.047,13.176,112.0,2060.484,0.553
20181228,0.0132,64.899,16.609,135.0,2099.286,0.627
20181229,0.0132,67.983,12.71,91.0,1662.051,0.635
20181230,0.01188,48.451,20.251,71.0,1253.704,0.568
20181231,0.01188,83.375,42.372,93.0,1926.763,0.611
20190101,0.01188,54.502,32.91,88.0,1590.641,0.571
20190102,0.01188,46.874,27.83,188.0,2090.33,0.509
20190103,0.01188,47.544,26.241,240.0,2145.504,0.553
20190104,0.01188,82.809,52.506,373.0,2112.55,0.596
20190105,0.01188,88.191,47.048,267.0,1876.292,0.593
20190106,0.0198,85.586,30.84,224.0,1571.848,0.584
20190107,0.0198,86.953,53.751,436.0,1914.655,0.55
20190108,0.0198,73.297,32.14,264.0,2096.958,0.554
20190110,0.0198,92.878,46.879,308.0,1745.958,0.512
20190111,0.0198,110.756,78.593,295.0,2135.565,0.588
20190112,0.0198,121.468,80.935,364.0,1971.989,0.627
20190113,0.07656,133.854,87.81,617.0,1024.058,0.574
20190114,0.07656,150.061,111.98,617.0,1538.375,0.553
20190115,0.07656,145.151,83.36,502.0,2126.719,0.589
20190116,0.07656,71.487,22.105,357.0,2227.507,0.55
20190117,0.07656,67.13,28.827,292.0,2154.643,0.612
20190118,0.07656,86.248,45.63,439.0,2360.969,0.595
20190119,0.07656,97.231,64.543,420.0,2114.012,0.746
20190120,0.03564,81.409,35.379,384.0,1677.972,0.664
20190121,0.03564,69.835,28.124,369.0,2003.719,0.953
20190122,0.03564,92.409,36.745,417.0,2215.451,0.583
20190125,0.03564,70.447,27.874,313.0,2131.37,0.573
20190126,0.03564,65.286,24.751,183.0,2073.607,0.666
20190127,0.02244,51.256,25.266,218.0,1742.48,0.593
20190128,0.02244,111.921,30.897,259.0,2139.31,0.633
20190129,0.02244,89.259,23.181,344.0,2188.203,0.541
20190130,0.02244,77.349,33.562,297.0,2124.798,0.588
20190131,0.02244,109.683,22.799,196.0,2101.277,0.596
20190201,0.02244,61.897,20.762,261.0,2079.545,0.61
20190202,0.02244,80.896,41.538,182.0,1597.466,0.593
20190203,0.02376,63.445,48.67,142.0,1145.81,0.487
20190204,0.02376,109.671,52.231,245.0,1330.128,0.549
20190205,0.02376,115.496,28.749,199.0,1689.659,0.641
20190206,0.02376,136.467,43.078,329.0,1466.813,0.52
20190209,0.02376,58.148,22.406,160.0,1831.646,0.603
20190210,0.01848,58.41,28.903,201.0,1590.63,0.561
20190211,0.01848,51.235,29.163,335.0,2040.789,0.549
20190212,0.01848,75.662,45.434,382.0,2053.677,0.57
20190213,0.01848,63.285,29.174,317.0,2100.969,0.699
20190214,0.01848,90.053,36.842,378.0,2045.849,0.735
20190215,0.01848,58.076,36.232,448.0,1969.812,0.639
20190217,0.03564,53.438,29.471,240.0,1619.957,0.672
20190218,0.03564,59.476,31.019,350.0,1991.752,0.61
20190219,0.03564,47.926,32.199,331.0,1786.007,0.558
20190220,0.03564,87.878,68.615,410.0,2129.468,0.597
20190221,0.03564,103.405,77.96,468.0,2068.252,0.545
20190224,0.05412,100.181,76.462,437.0,1772.749,0.575
20190225,0.05412,117.967,84.429,395.0,2070.565,0.578
20190226,0.05412,66.985,32.572,343.0,2065.5,0.622
20190227,0.05412,86.38,51.135,365.0,2147.302,0.62
20190228,0.05412,107.357,70.247,402.0,1944.638,0.609
20190301,0.05412,154.278,111.638,533.0,1760.003,0.708
20190302,0.05412,143.105,107.217,384.0,1863.918,0.56
20190303,0.132,132.392,94.207,523.0,1569.409,0.571
20190304,0.132,210.389,145.953,483.0,2166.837,0.603
20190305,0.132,333.803,249.664,548.0,2154.741,0.636
20190306,0.132,218.213,162.523,519.0,2155.47,0.653
20190307,0.132,93.037,63.017,485.0,2266.975,0.59
20190311,0.06204,105.044,73.422,364.0,2143.45,0.607
20190312,0.06204,134.75,83.147,358.0,2166.268,0.623
20190313,0.06204,68.847,19.548,307.0,2271.622,0.676
20190314,0.06204,67.653,28.581,305.0,2274.114,0.776
20190315,0.06204,88.953,53.227,334.0,2245.688,0.775
20190316,0.06204,53.862,35.674,262.0,2064.991,0.636
20190317,0.04488,51.346,29.124,392.0,1868.876,0.732
20190319,0.04488,93.95,56.056,363.0,2233.398,0.631
20190320,0.04488,129.856,99.626,291.0,2338.766,0.712
20190321,0.04488,54.596,44.125,375.0,2223.28,0.681
20190322,0.04488,53.852,22.318,304.0,2219.849,0.684
20190323,0.04488,33.987,19.301,216.0,2076.307,0.68
20190324,0.05676,40.871,16.711,1.0,1906.833,0.645
20190326,0.05676,88.678,52.072,333.0,2298.69,0.68
20190327,0.05676,144.367,91.685,353.0,2305.145,0.759
20190328,0.05676,123.572,76.784,326.0,2248.64,0.668
20190329,0.05676,62.29,28.076,277.0,2232.724,0.638
20190330,0.05676,54.425,37.885,208.0,2070.563,0.592
20190331,0.03564,58.442,32.163,388.0,1887.756,0.623
