OPER_DT,BOR_CD,ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
20180402,1111,11110710,111.0%,29.0%,17.5%,36.5%,8.3%,5.9%,0.9%,1.7%,0.2%
20180402,1135,11350560,93.6%,34.1%,20.2%,37.6%,2.2%,3.5%,1.1%,1.0%,0.2%
20180402,1135,11350570,99.7%,34.6%,21.7%,36.9%,1.7%,3.1%,0.6%,1.0%,0.4%
20180402,1135,11350580,102.8%,26.7%,25.3%,39.8%,2.5%,3.7%,0.1%,1.4%,0.6%
20180402,1135,11350595,73.1%,32.6%,18.9%,37.5%,4.3%,4.3%,0.4%,1.2%,0.8%
20180402,1135,11350600,75.8%,29.8%,23.1%,36.4%,2.0%,5.9%,0.8%,1.4%,0.4%
20180402,1135,11350611,129.7%,29.0%,23.7%,35.7%,2.8%,4.2%,0.5%,0.9%,3.1%
20180402,1135,11350612,111.6%,30.2%,27.7%,36.2%,1.8%,2.5%,0.5%,0.4%,0.7%
20180402,1135,11350619,91.3%,28.5%,23.6%,40.9%,1.3%,3.7%,0.7%,0.9%,0.5%
20180402,1135,11350621,73.8%,30.1%,20.4%,40.5%,2.0%,3.4%,0.7%,0.1%,2.8%
20180402,1135,11350624,74.2%,29.6%,21.6%,42.5%,1.7%,3.3%,,0.6%,0.8%
20180402,1135,11350625,132.9%,32.6%,20.0%,40.9%,1.7%,3.5%,0.3%,0.8%,0.2%
20180402,1135,11350630,78.1%,28.5%,21.1%,43.1%,1.7%,3.6%,0.8%,0.8%,0.4%
20180402,1135,11350640,123.9%,33.5%,19.9%,37.4%,2.9%,4.8%,0.4%,0.8%,0.3%
20180402,1135,11350665,61.0%,49.2%,19.9%,25.0%,0.6%,2.4%,0.4%,2.6%,
20180402,1135,11350670,80.9%,37.4%,17.5%,35.5%,3.1%,3.8%,0.8%,1.2%,0.7%
20180402,1135,11350695,99.0%,25.5%,22.5%,35.8%,10.4%,3.6%,0.5%,0.8%,0.8%
20180402,1135,11350700,122.4%,28.1%,25.5%,33.8%,2.9%,6.9%,,1.1%,1.7%
20180402,1135,11350710,99.6%,34.5%,20.5%,35.3%,4.2%,3.1%,0.3%,1.4%,0.7%
20180402,1135,11350720,79.4%,28.6%,21.3%,40.0%,2.2%,5.2%,0.4%,1.7%,0.5%
20180403,1111,11110515,72.2%,31.8%,24.7%,36.1%,1.2%,5.0%,0.5%,0.5%,0.2%
20180403,1111,11110530,144.2%,26.6%,22.0%,40.7%,1.3%,7.6%,0.4%,1.0%,0.4%
20180403,1111,11110540,68.2%,18.7%,17.6%,42.1%,12.0%,6.2%,0.2%,3.2%,
20180403,1111,11110550,186.1%,42.2%,19.7%,31.2%,1.4%,3.8%,0.4%,1.0%,0.3%
20180403,1111,11110560,62.7%,31.3%,26.0%,31.9%,4.2%,6.3%,,0.3%,0.1%
20180403,1111,11110570,177.1%,32.3%,23.3%,36.9%,2.7%,3.4%,0.3%,0.9%,0.3%
20180403,1111,11110580,82.8%,31.8%,16.9%,30.9%,10.5%,7.8%,,1.9%,0.1%
20180403,1111,11110600,98.2%,26.1%,20.5%,34.7%,6.9%,9.8%,0.5%,0.7%,0.7%
20180403,1111,11110615,187.7%,27.6%,18.1%,40.1%,2.3%,9.5%,0.3%,1.9%,0.2%
20180403,1111,11110630,90.2%,28.1%,21.0%,44.0%,0.8%,4.0%,0.6%,1.1%,0.3%
20180403,1111,11110640,104.6%,28.7%,20.0%,35.9%,5.3%,8.1%,0.5%,1.5%,0.1%
20180403,1111,11110650,108.5%,35.4%,17.7%,34.2%,5.2%,5.5%,0.6%,1.3%,0.0%
20180403,1111,11110670,95.9%,34.9%,18.2%,36.4%,0.8%,3.4%,4.3%,1.8%,0.1%
20180403,1111,11110680,112.0%,44.6%,14.5%,34.4%,0.9%,3.9%,0.3%,1.4%,
20180403,1111,11110690,54.8%,19.4%,25.6%,49.7%,1.8%,3.3%,,0.1%,0.1%
20180403,1111,11110700,111.5%,40.9%,15.7%,33.5%,3.5%,5.4%,0.5%,0.4%,0.2%
20180403,1111,11110710,112.9%,31.0%,17.8%,36.7%,6.4%,6.6%,0.3%,1.1%,0.1%
20180403,1135,11350560,102.9%,33.8%,20.6%,37.8%,2.3%,4.4%,0.4%,0.4%,0.2%
20180403,1135,11350570,94.2%,37.1%,19.9%,35.6%,1.9%,3.1%,0.5%,1.2%,0.6%
20180403,1135,11350580,96.8%,29.6%,25.0%,38.3%,2.5%,3.6%,0.0%,0.4%,0.6%
20180403,1135,11350595,70.3%,33.8%,18.7%,36.7%,3.5%,4.9%,1.2%,0.7%,0.5%
20180403,1135,11350600,79.9%,31.5%,24.3%,34.2%,1.8%,5.6%,1.2%,1.1%,0.3%
20180403,1135,11350611,129.9%,29.6%,24.0%,38.6%,2.6%,3.1%,0.5%,0.9%,0.7%
20180403,1135,11350612,109.8%,33.4%,27.2%,36.2%,0.2%,2.0%,0.1%,0.8%,0.2%
20180403,1135,11350619,94.1%,27.0%,27.1%,38.6%,2.3%,3.4%,0.3%,0.8%,0.5%
20180403,1135,11350621,66.8%,28.6%,24.8%,39.4%,2.1%,3.6%,0.4%,0.6%,0.5%
20180403,1135,11350624,75.8%,31.3%,19.2%,39.7%,3.1%,4.7%,0.5%,1.3%,0.2%
20180403,1135,11350625,132.5%,34.1%,20.2%,38.8%,1.4%,3.5%,0.6%,1.0%,0.3%
20180403,1135,11350630,76.5%,27.5%,22.1%,41.1%,2.7%,4.3%,1.0%,0.8%,0.5%
20180403,1135,11350640,119.9%,35.1%,21.4%,34.3%,2.4%,5.6%,0.4%,0.5%,0.2%
20180403,1135,11350665,52.1%,49.2%,15.7%,27.1%,2.3%,3.6%,1.9%,0.3%,0.1%
20180403,1135,11350670,77.3%,36.2%,23.3%,31.9%,2.8%,3.3%,1.3%,0.6%,0.7%
20180403,1135,11350695,97.5%,28.7%,23.3%,37.0%,4.6%,4.7%,0.5%,0.6%,0.6%
20180403,1135,11350700,125.5%,31.9%,22.8%,38.1%,1.1%,3.8%,0.9%,0.6%,0.8%
20180403,1135,11350710,85.6%,31.4%,23.1%,39.1%,1.7%,2.1%,0.7%,1.3%,0.6%
20180403,1135,11350720,72.9%,36.5%,19.1%,36.2%,1.7%,4.6%,,1.6%,0.2%
20180404,1111,11110515,71.7%,34.0%,22.2%,35.5%,3.2%,3.9%,0.2%,0.6%,0.5%
20180404,1111,11110530,159.1%,26.4%,22.3%,37.3%,2.3%,8.4%,0.5%,2.0%,0.9%
20180404,1111,11110540,62.3%,19.8%,18.3%,37.1%,6.6%,13.8%,,4.2%,0.2%
20180404,1111,11110550,189.3%,41.4%,20.7%,29.0%,2.9%,4.1%,0.9%,0.8%,0.2%
20180404,1111,11110560,64.0%,25.6%,19.2%,40.1%,2.4%,5.8%,3.0%,3.7%,0.1%
20180404,1111,11110570,208.9%,30.6%,21.7%,32.0%,8.2%,7.1%,,0.1%,0.1%
20180404,1111,11110580,73.0%,34.7%,20.3%,31.3%,1.9%,10.7%,0.9%,0.2%,0.1%
20180404,1111,11110600,106.0%,23.0%,21.2%,31.6%,4.3%,9.6%,1.3%,8.6%,0.3%
20180404,1111,11110615,179.5%,29.1%,19.2%,39.1%,2.7%,8.1%,0.4%,1.2%,0.2%
20180404,1111,11110630,87.8%,32.0%,16.5%,40.7%,1.6%,7.0%,0.7%,1.3%,0.2%
20180404,1111,11110640,106.6%,29.5%,18.5%,35.7%,4.8%,7.9%,1.1%,2.3%,0.3%
20180404,1111,11110650,104.6%,35.4%,17.3%,33.1%,4.0%,6.9%,1.1%,2.0%,0.2%
20180404,1111,11110670,87.7%,38.6%,14.3%,34.0%,1.2%,10.9%,0.2%,0.4%,0.3%
20180404,1111,11110680,107.0%,48.9%,12.4%,27.9%,1.8%,6.4%,1.0%,1.5%,
20180404,1111,11110690,60.6%,23.4%,25.3%,40.7%,0.6%,8.1%,,1.7%,0.1%
20180404,1111,11110700,105.9%,39.7%,17.7%,28.0%,8.4%,4.3%,0.7%,0.9%,0.3%
20180404,1111,11110710,105.1%,32.5%,17.8%,34.1%,5.8%,7.1%,1.0%,1.6%,0.1%
20180404,1135,11350560,96.0%,35.7%,19.9%,34.9%,2.3%,5.8%,0.4%,0.7%,0.1%
20180404,1135,11350570,92.7%,39.5%,21.8%,31.9%,1.7%,3.9%,0.5%,0.2%,0.5%
20180404,1135,11350580,101.7%,28.0%,25.0%,38.1%,2.2%,5.4%,0.6%,0.4%,0.4%
20180404,1135,11350595,73.6%,35.2%,19.4%,34.6%,2.6%,6.0%,1.0%,1.0%,0.2%
20180404,1135,11350600,81.5%,31.3%,24.5%,31.4%,2.1%,7.1%,1.4%,1.8%,0.3%
20180404,1135,11350611,130.6%,32.9%,24.4%,34.1%,2.7%,4.0%,1.0%,0.6%,0.4%
20180404,1135,11350612,133.1%,34.1%,31.7%,29.0%,0.4%,2.0%,0.5%,1.8%,0.4%
20180404,1135,11350619,92.7%,31.0%,23.5%,38.2%,1.3%,4.5%,0.3%,0.5%,0.6%
20180404,1135,11350621,74.7%,31.0%,25.4%,34.2%,3.4%,4.3%,0.0%,1.1%,0.6%
20180404,1135,11350624,71.5%,30.3%,23.0%,36.3%,2.7%,6.3%,0.2%,0.4%,0.7%
20180404,1135,11350625,134.6%,34.7%,20.7%,36.6%,1.6%,5.0%,0.6%,0.6%,0.2%
20180404,1135,11350630,77.2%,29.2%,22.3%,38.3%,2.5%,6.4%,0.5%,0.4%,0.3%
20180404,1135,11350640,123.0%,37.4%,20.2%,32.4%,1.6%,6.8%,0.0%,1.1%,0.4%
20180404,1135,11350665,50.8%,45.7%,16.5%,28.5%,2.3%,4.2%,0.2%,1.9%,0.8%
20180404,1135,11350670,73.4%,39.2%,21.5%,32.1%,1.4%,3.8%,1.6%,0.1%,0.4%
20180404,1135,11350695,91.1%,27.8%,24.2%,34.8%,6.8%,5.0%,0.6%,0.3%,0.5%
20180404,1135,11350700,127.2%,32.7%,27.7%,30.9%,2.2%,5.5%,0.2%,,0.8%
20180404,1135,11350710,86.2%,34.9%,24.5%,34.2%,1.3%,3.5%,0.3%,0.4%,0.8%
20180404,1135,11350720,77.1%,32.1%,19.8%,37.4%,1.5%,6.5%,1.3%,0.9%,0.6%
20180405,1111,11110515,60.7%,38.1%,24.3%,28.7%,2.2%,5.2%,0.6%,0.9%,0.1%
20180405,1111,11110530,159.7%,27.3%,22.2%,32.7%,3.0%,12.9%,0.2%,1.2%,0.6%
20180405,1111,11110540,54.1%,23.9%,19.7%,26.4%,3.6%,22.3%,1.9%,2.1%,
20180405,1111,11110550,157.4%,45.3%,21.4%,24.4%,1.2%,6.1%,0.5%,0.8%,0.3%
20180405,1111,11110560,63.4%,38.0%,23.3%,24.7%,1.9%,7.8%,1.6%,2.7%,
20180405,1111,11110570,210.3%,28.5%,21.5%,35.5%,3.2%,8.7%,0.2%,2.3%,0.1%
20180405,1111,11110580,73.2%,37.6%,23.0%,25.6%,2.6%,10.8%,,0.4%,
20180405,1111,11110600,85.6%,26.1%,13.7%,27.6%,3.3%,22.4%,2.1%,3.5%,1.3%
20180405,1111,11110615,180.5%,30.8%,18.5%,35.1%,2.2%,11.5%,0.4%,1.4%,0.2%
20180405,1111,11110630,88.3%,31.1%,20.4%,34.9%,1.7%,11.1%,0.1%,0.3%,0.5%
20180405,1111,11110640,94.5%,34.6%,19.3%,30.0%,2.5%,11.5%,0.8%,1.2%,0.1%
20180405,1111,11110650,105.0%,35.7%,19.8%,30.2%,3.2%,9.6%,0.1%,1.3%,0.1%
20180405,1111,11110670,94.3%,39.6%,15.7%,34.6%,1.1%,7.0%,1.2%,0.5%,0.3%
20180405,1111,11110680,107.0%,47.8%,16.7%,25.1%,1.0%,5.6%,3.2%,0.6%,
20180405,1111,11110690,57.2%,23.2%,28.9%,39.4%,,9.7%,,-1.2%,
20180405,1111,11110700,98.4%,42.2%,18.3%,28.4%,5.2%,4.8%,0.5%,0.4%,0.1%
20180405,1111,11110710,105.9%,34.3%,19.1%,30.7%,3.3%,9.9%,0.8%,1.8%,0.1%
20180405,1135,11350560,93.0%,37.7%,19.1%,30.1%,3.1%,7.7%,0.8%,0.9%,0.4%
20180405,1135,11350570,80.5%,40.2%,22.9%,28.4%,1.4%,5.4%,0.7%,0.6%,0.4%
20180405,1135,11350580,94.1%,31.9%,23.6%,34.3%,2.5%,5.9%,0.6%,0.6%,0.5%
20180405,1135,11350595,73.0%,34.6%,21.1%,31.0%,2.8%,8.8%,0.8%,0.7%,0.2%
20180405,1135,11350600,78.4%,36.3%,22.2%,26.6%,3.0%,9.3%,0.7%,1.6%,0.4%
20180405,1135,11350611,113.9%,33.7%,24.4%,30.5%,2.4%,7.5%,0.4%,0.8%,0.4%
20180405,1135,11350612,112.3%,38.7%,28.0%,25.2%,1.9%,3.8%,1.3%,0.3%,0.7%
20180405,1135,11350619,94.0%,36.0%,24.5%,30.4%,1.2%,5.6%,0.6%,0.7%,0.9%
20180405,1135,11350621,66.8%,33.7%,24.1%,33.7%,3.7%,3.9%,0.1%,0.4%,0.4%
20180405,1135,11350624,65.3%,36.8%,17.4%,34.6%,2.6%,6.6%,1.5%,0.3%,0.2%
20180405,1135,11350625,129.3%,36.7%,21.1%,33.0%,1.0%,5.8%,1.1%,1.1%,0.2%
20180405,1135,11350630,72.0%,30.8%,23.1%,35.3%,1.9%,6.6%,1.0%,0.9%,0.4%
20180405,1135,11350640,114.0%,36.0%,20.0%,31.8%,1.8%,8.5%,0.9%,0.7%,0.2%
20180405,1135,11350665,45.6%,41.4%,17.0%,22.9%,7.5%,4.9%,,5.5%,0.8%
20180405,1135,11350670,75.2%,40.2%,17.6%,28.6%,5.8%,5.5%,1.0%,1.0%,0.3%
20180405,1135,11350695,78.0%,29.5%,23.0%,33.4%,4.7%,7.5%,0.6%,1.1%,0.2%
20180405,1135,11350700,109.7%,42.8%,21.9%,23.6%,1.0%,8.3%,,0.4%,2.0%
20180405,1135,11350710,80.4%,37.1%,21.1%,33.3%,2.1%,4.9%,0.8%,0.4%,0.4%
20180405,1135,11350720,71.8%,35.3%,22.1%,31.8%,2.7%,6.2%,0.3%,1.1%,0.5%
20180406,1111,11110515,72.1%,31.3%,24.1%,33.6%,2.1%,7.3%,0.5%,0.9%,0.3%
20180406,1111,11110530,150.8%,26.1%,22.6%,35.6%,2.2%,10.7%,0.3%,1.4%,1.1%
20180406,1111,11110540,51.0%,23.1%,20.6%,37.3%,5.9%,12.9%,,,0.3%
20180406,1111,11110550,161.1%,41.5%,21.9%,27.1%,1.6%,6.6%,0.5%,0.7%,0.2%
20180406,1111,11110560,79.8%,35.5%,18.0%,35.6%,1.3%,7.2%,,2.1%,0.3%
20180406,1111,11110570,215.9%,33.2%,18.4%,28.8%,6.5%,11.4%,0.1%,1.5%,0.1%
20180406,1111,11110580,67.6%,38.7%,19.7%,28.5%,2.4%,7.9%,,2.4%,0.4%
20180406,1111,11110600,92.4%,24.8%,17.8%,31.7%,7.9%,13.1%,1.3%,3.4%,0.1%
20180406,1111,11110615,180.4%,28.9%,20.6%,36.1%,3.4%,8.9%,0.5%,1.5%,0.3%
20180406,1111,11110630,97.7%,31.0%,16.9%,39.6%,4.8%,5.7%,0.9%,1.0%,0.1%
20180406,1111,11110640,115.4%,30.5%,19.9%,32.1%,5.0%,9.6%,0.3%,2.3%,0.3%
20180406,1111,11110650,104.1%,35.7%,20.5%,31.3%,3.8%,7.0%,0.3%,1.4%,0.1%
20180406,1111,11110670,90.4%,37.3%,19.5%,33.4%,2.3%,5.8%,0.4%,0.5%,0.7%
20180406,1111,11110680,106.2%,48.5%,14.9%,27.0%,1.4%,5.1%,2.7%,0.3%,0.0%
20180406,1111,11110690,71.7%,21.1%,31.7%,41.5%,0.7%,4.0%,,0.9%,0.1%
20180406,1111,11110700,114.1%,38.1%,20.5%,28.0%,5.9%,6.0%,0.1%,1.3%,0.1%
20180406,1111,11110710,115.2%,33.8%,19.2%,32.6%,6.3%,5.4%,1.4%,1.2%,0.1%
20180406,1135,11350560,91.9%,36.1%,21.5%,32.3%,3.8%,5.2%,0.5%,0.4%,0.1%
20180406,1135,11350570,91.2%,39.2%,22.8%,30.5%,2.1%,3.9%,0.5%,0.4%,0.7%
20180406,1135,11350580,104.9%,30.3%,26.9%,34.0%,1.8%,4.5%,0.8%,1.1%,0.6%
20180406,1135,11350595,73.3%,32.6%,20.8%,35.3%,2.6%,6.8%,0.6%,1.1%,0.3%
20180406,1135,11350600,79.9%,31.6%,25.7%,31.5%,2.5%,7.0%,0.7%,0.6%,0.5%
20180406,1135,11350611,128.0%,32.7%,25.2%,33.0%,1.3%,5.9%,0.5%,1.0%,0.3%
20180406,1135,11350612,119.8%,33.8%,26.5%,26.5%,2.8%,8.7%,0.1%,0.8%,0.9%
20180406,1135,11350619,96.7%,32.9%,24.2%,33.9%,2.3%,5.1%,0.5%,0.8%,0.5%
20180406,1135,11350621,76.3%,30.9%,25.4%,35.8%,2.6%,3.6%,0.4%,0.9%,0.5%
20180406,1135,11350624,76.5%,31.9%,21.3%,35.4%,3.6%,5.7%,1.7%,0.1%,0.3%
20180406,1135,11350625,131.1%,35.5%,23.1%,33.6%,1.4%,4.6%,0.5%,0.9%,0.3%
20180406,1135,11350630,82.7%,28.1%,25.5%,37.1%,1.6%,5.7%,0.5%,1.1%,0.5%
20180406,1135,11350640,126.1%,35.7%,21.8%,32.8%,2.3%,6.0%,0.3%,0.8%,0.3%
20180406,1135,11350665,55.1%,51.2%,16.4%,26.1%,2.9%,2.6%,,0.1%,0.6%
20180406,1135,11350670,72.4%,39.6%,19.8%,32.6%,2.2%,4.5%,0.8%,0.2%,0.4%
20180406,1135,11350695,97.4%,27.6%,24.7%,33.8%,7.6%,4.6%,0.5%,0.9%,0.3%
20180406,1135,11350700,127.2%,34.6%,29.7%,29.7%,2.9%,2.6%,,,0.4%
20180406,1135,11350710,86.9%,35.2%,24.7%,34.5%,1.3%,3.1%,0.5%,0.7%,0.2%
20180406,1135,11350720,75.3%,34.4%,23.7%,34.0%,1.6%,5.5%,0.2%,0.3%,0.4%
20180407,1111,11110515,72.8%,31.5%,25.2%,33.9%,1.4%,4.6%,0.6%,2.3%,0.5%
20180407,1111,11110530,115.9%,25.4%,25.9%,34.8%,3.3%,8.8%,0.2%,1.0%,0.6%
20180407,1111,11110540,66.2%,21.8%,27.0%,28.5%,2.0%,13.3%,0.2%,5.9%,1.1%
20180407,1111,11110550,110.0%,39.3%,21.3%,28.4%,3.2%,5.1%,0.8%,1.8%,0.1%
20180407,1111,11110560,48.4%,31.3%,23.1%,33.9%,1.2%,7.1%,2.3%,0.4%,0.7%
20180407,1111,11110570,250.6%,30.5%,25.1%,30.9%,4.2%,7.3%,0.6%,1.3%,0.1%
20180407,1111,11110580,89.1%,34.8%,23.4%,27.8%,4.5%,5.6%,2.0%,1.6%,0.2%
20180407,1111,11110600,87.0%,21.4%,23.7%,35.6%,6.1%,10.0%,0.2%,2.4%,0.5%
20180407,1111,11110615,151.0%,26.8%,22.6%,36.2%,3.4%,8.4%,0.6%,1.8%,0.3%
20180407,1111,11110630,75.7%,30.3%,20.0%,40.2%,1.5%,6.6%,0.1%,1.0%,0.6%
20180407,1111,11110640,115.9%,23.8%,23.3%,36.6%,4.3%,9.3%,0.6%,1.9%,0.2%
20180407,1111,11110650,99.1%,30.0%,21.5%,33.5%,5.2%,7.2%,0.7%,1.7%,0.1%
20180407,1111,11110670,92.6%,38.1%,16.5%,31.6%,3.1%,9.6%,0.2%,0.6%,0.4%
20180407,1111,11110680,110.1%,42.5%,15.8%,32.5%,1.5%,6.4%,0.9%,0.3%,0.1%
20180407,1111,11110690,49.5%,11.3%,39.0%,43.4%,1.6%,3.1%,1.6%,,0.1%
20180407,1111,11110700,105.5%,38.7%,18.8%,27.9%,6.5%,5.2%,1.9%,1.0%,0.1%
20180407,1111,11110710,115.9%,30.9%,22.2%,35.7%,3.1%,5.9%,0.7%,1.1%,0.2%
20180407,1135,11350560,79.2%,35.9%,22.1%,33.7%,1.7%,5.0%,0.4%,0.8%,0.4%
20180407,1135,11350570,89.2%,33.6%,24.4%,33.9%,1.9%,4.3%,0.3%,1.1%,0.5%
20180407,1135,11350580,114.0%,25.9%,26.0%,38.2%,3.5%,4.8%,0.4%,0.5%,0.8%
20180407,1135,11350595,72.6%,31.8%,23.1%,34.0%,2.1%,7.1%,0.6%,0.7%,0.6%
20180407,1135,11350600,85.7%,30.7%,26.6%,34.9%,1.7%,5.0%,0.2%,0.5%,0.5%
20180407,1135,11350611,121.1%,30.1%,25.3%,34.6%,2.6%,5.8%,0.3%,0.9%,0.4%
20180407,1135,11350612,162.0%,34.6%,29.5%,28.4%,2.8%,3.2%,0.4%,0.5%,0.6%
20180407,1135,11350619,125.0%,28.8%,27.5%,33.8%,2.2%,5.3%,0.4%,1.5%,0.5%
20180407,1135,11350621,77.7%,31.5%,22.5%,38.1%,3.4%,3.7%,0.1%,0.3%,0.4%
20180407,1135,11350624,85.7%,27.9%,24.7%,39.9%,1.6%,3.6%,0.4%,1.1%,0.8%
20180407,1135,11350625,129.2%,33.6%,23.8%,33.7%,1.9%,4.5%,0.8%,1.2%,0.5%
20180407,1135,11350630,87.1%,23.7%,27.2%,40.8%,1.2%,5.5%,0.5%,0.9%,0.3%
20180407,1135,11350640,141.3%,33.1%,24.1%,32.8%,2.1%,5.2%,0.8%,0.8%,1.1%
20180407,1135,11350665,68.1%,39.1%,24.3%,23.7%,0.7%,6.0%,3.8%,2.3%,0.2%
20180407,1135,11350670,79.2%,37.1%,23.6%,33.7%,1.5%,2.8%,0.6%,0.1%,0.6%
20180407,1135,11350695,110.3%,29.1%,27.3%,32.2%,5.1%,4.4%,0.5%,0.7%,0.6%
