STD_YM,STD_YMD,HDONG_CD,HDONG_NM,MAN_0004,MAN_0509,MAN_1014,MAN_1519,MAN_2024,MAN_2529,MAN_3034,MAN_3539,MAN_4044,MAN_4549,MAN_5054,MAN_5559,MAN_6064,MAN_6569,MAN_70U,WMAN_0004,WMAN_0509,WMAN_1014,WMAN_1519,WMAN_2024,WMAN_2529,WMAN_3034,WMAN_3539,WMAN_4044,WMAN_4549,WMAN_5054,WMAN_5559,WMAN_6064,WMAN_6569,WMAN_70U
201804,20180402,1111057000,무악동,0,16.37,123.85,452.54,647.96,949.36,1138.72,1485.18,1430.98,1667.96,1379.94,1423.44,1185.46,784.44,976.61,1.16,19.87,106.88,479.17,1040.32,1129.1,1070.02,1079.15,1100.35,1277.08,1044.49,1029.59,887.69,489.03,615.14
201804,20180402,1111058000,교남동,0.56,39.47,169.94,635.3,801.96,1579.98,1977.47,2565.66,2479.96,3080.11,2725.99,2710.17,2302.61,1565.86,1606.47,0.09,39.17,185.93,661.36,1593.87,1864.1,1862.25,1946.84,1850.73,2105.41,1674.88,1670.41,1395.75,750.14,903.95
201804,20180402,1111060000,가회동,0,14.21,142.6,853.35,532.15,1438.4,2713.11,3121.87,2687.93,2970.47,2189.53,1949.8,1388.03,873.18,894.87,0,28.82,92.06,545.15,1029.1,1279.01,1294.08,1404.37,1153.09,1127.12,882.78,778.98,668.77,325.37,447.51
201804,20180402,1111061500,종로1.2.3.4가동,2.78,178.4,1131.86,6626.63,17052.54,32926.17,39606.76,51178.93,46917.41,53180.1,41898.77,37095.84,32278.1,21741.15,27917.35,1.33,243.95,1028.53,8678.64,29579.06,37357.63,32836.03,30978.81,25421.75,26017.35,20486.2,20803.05,16411.43,9713.07,13161.96
201804,20180402,1111063000,종로5.6가동,0,43.5,298.14,2121.08,5567.42,9408.52,10083.31,12626.01,11030.36,12546.68,10679.71,11416.31,10299.1,6968.22,8187.53,0,57.58,248.7,2559.66,9123.97,10157.24,8546.65,8673.54,7390.21,8380.85,7126.78,7334.17,5860.51,3592.43,4396.35
201804,20180402,1111064000,이화동,0,90.28,343.32,1427.92,3632.81,5331.26,5236.93,6134.07,5358.31,5895.78,4960.78,5023.09,4468.06,2957.51,3591.41,0,84.11,271.15,1997.51,6661.86,6438.02,5241.6,5355.94,4574.75,4876.88,3772.27,3976.73,3048.07,1928.07,2319.95
201804,20180402,1111065000,혜화동,0,81.45,585.17,2760.47,4601.94,6278.45,5590.53,6777.16,6214.13,7524.5,6457.93,6489.43,5887.51,3799.36,3825.81,0,132.19,436.41,2955.11,7877.45,6351.01,4873.99,4994.75,4491.55,5135.54,3949.22,4212.68,3272.74,1828.76,2340.08
201804,20180402,1111067000,창신1동,0,30.06,132.29,939.62,2296.59,3334.76,3461.31,4290.28,3829.55,4442.39,3972.9,4335.81,4219.35,2981.66,3672.73,0,25.98,99.47,1018.79,3303.6,3258.06,2783.87,2982.87,2577.59,2860.38,2564.64,2785.83,2276.1,1428.9,1961.41
201804,20180402,1111068000,창신2동,0,4.53,30.5,295.6,730.37,963.94,929.38,1081.62,944.22,1126.26,1003.9,1041.93,940.13,711.38,925.3,0,9,21.43,335.25,944.52,958.77,717.96,747.42,634.61,766.72,703.46,729.84,587.02,406.31,552.34
201804,20180402,1111069000,창신3동,0,10.94,49.73,279.92,587.02,690.6,688.3,742.57,706.26,691.87,567.06,571.88,526.99,387.95,342.36,0,11.87,48.83,434.86,893.19,752.42,576.4,530.93,445.65,488.23,407.71,390.78,306.03,170.22,200.15
201804,20180402,1111070000,숭인1동,0,18.19,83.16,537.45,1173.9,1528.3,1553.95,1922.64,1737.51,1938.41,1662.8,1775.03,1685.54,1238.21,1522.6,0,16.99,93.07,676.63,1786.7,1615.17,1348.07,1351.02,1087.56,1242.33,1092.99,1109.99,893.97,600.49,873.95
201804,20180402,1111071000,숭인2동,0,38.07,165.69,1732.65,3678.53,5195.04,5292.56,6343.59,5769.5,6579.37,5948.68,6253.47,6026.05,4212.91,5566.27,0,59.93,166.68,1796.08,5466.21,4914.17,4191.22,4401.03,3835.63,4067.45,3736.44,3951.57,3347.44,2224.08,3039.03
201804,20180402,1135056000,월계1동,0,98,380.76,2661.92,4635.47,4128.02,3641.6,5170.43,4835.43,5566.12,5071.68,5295.59,5017.67,3448.92,4023.74,0,89.52,367.21,2331.57,4491.24,3093.01,2775.26,3464.88,3441.12,3830.72,3299.6,3298.62,2759.32,1783.19,2371.7
201804,20180402,1135057000,월계2동,0,110.43,317.08,2297.78,2297.17,2257.4,2433,3491.44,3438.07,4442.74,4127.3,4287.66,4204.14,2953.91,3302.34,0,73.09,425.54,2622.32,2613.61,1681.9,1701.51,2379.28,2703.57,3093.03,2679,2712.64,2211.05,1313.21,1824.73
201804,20180402,1135058000,월계3동,0,100.96,614.77,2163.07,3357.43,4187.16,5146.75,7297.3,7207.3,8665.99,7524.46,7853.4,7133.88,4703.36,4866.95,0,136.04,639.31,2102.1,3719.87,3279.64,3338.14,4552.77,4628.44,5171.52,4353.97,4455.45,3505.49,2087.53,2735.09
201804,20180402,1135059500,공릉1동,0.04,207.61,1055.33,3745.82,7504.78,9123.5,9455.69,13174.01,12152.74,14399.36,12789.35,13078.81,12500.72,7728.66,7219.91,0,298.16,1049.95,4556.8,10543.74,7634.88,7005.48,8251.52,7835.72,9202.92,7994.11,8341.93,6054.13,3462.32,4155.16
201804,20180402,1135060000,공릉2동,0,353.95,1414.8,6273.35,16499,9645.99,7087.82,10247.45,9953.46,12359.99,10914.48,10933.65,10692.49,6137.35,5889.29,0,476.15,1469.06,7855.17,19034.37,5841.64,5167.95,6843.16,7441.47,8428.91,6617.46,7038.15,5052.47,2603.03,2980.81
201804,20180402,1135061100,하계1동,0,143.48,704.15,4507.69,5393.34,4395.77,3406.54,4520.25,4709.56,6542.47,6323.76,6046.57,6061.41,3673.11,3245.69,0,147.24,749.63,3376.76,5307.79,2858.08,2593.32,3446.43,4361.67,5777.15,4978.96,4781.37,3281.64,1744.48,2051.61
201804,20180402,1135061200,하계2동,0,65.08,411.25,1781.67,2536.99,2812.6,3038.26,4201.48,4199.54,5383.8,4896.79,4812.27,4634.7,3037,3058.27,0,69.29,461.79,1824.94,2966.51,2544.5,2321.09,3011.73,3263.92,4055.34,3470.76,3436.94,2503.25,1423.75,1817.05
201804,20180402,1135061900,중계본동,0,67.06,487.1,923.17,594.41,767.99,796.42,1344.68,1617.09,2604.18,2510.2,2181.87,2178.14,1297.5,1030.08,0,87.63,518.99,1393.34,705.32,573.23,606.33,984.25,1626.88,2365.06,1641.85,1268.75,826.49,402.69,517.41
201804,20180402,1135062100,중계1동,0,102.8,844.49,1549.07,1126.4,1202.18,1190.74,1801.42,2179.77,3586.88,3234.32,2830.44,2808.79,1843.92,1445.01,0,134.79,938.86,1519.34,1226.05,989.13,946.7,1563.38,2560.13,3416.58,2299.91,1923.6,1259.17,630.89,809.23
201804,20180402,1135062400,중계4동,0,114.99,403.3,1557.47,1047.79,1246.27,1239.99,1976.03,2041.29,3066.95,2686.14,3012.84,2869.05,1797.63,1714.31,0,116.49,360.82,1214.37,1162.38,1073.65,999.3,1513.11,1924.52,2747.42,2156.7,2085.37,1397.33,913.98,1092.03
201804,20180402,1135062500,중계2.3동,0,137.87,579.76,2608.78,3594.4,4023.08,3898.36,5321.93,5298.29,7010.14,6202.31,6163.76,5976.89,4120.08,4187.17,0,157.83,693.48,2918.5,4465.17,3857.82,3279.28,4454.59,4925.17,6258.82,5229.21,4981.41,3526.7,2135.33,2696.84
201804,20180402,1135063000,상계1동,0,138.18,527.59,1899.76,2975.48,4416.84,5326.59,8025.19,7661.66,9468.34,9018.26,9033.06,8437.02,5031.77,4983.43,0,143.24,542.58,1809.83,3884.87,3818.85,3890.57,5164.06,5017.06,6330.43,5762.74,5656.34,4347.71,2352.23,2717.61
201804,20180402,1135064000,상계2동,0,81.15,426.5,2487.62,3807.54,4026.89,3877.85,4924.46,4417.55,5998.62,5523.37,5859.99,5748.58,3791.38,3602.28,0,104.98,484.47,2840.26,4869.67,4184.56,3559.79,4141.57,4240.04,5773.08,4965.15,4530.58,3430.99,1960.45,2152.59
201804,20180402,1135066500,상계3.4동,0,148.05,452.8,1301.48,1397.54,1800.54,2068.72,3382.82,3220.15,4502.91,4256.06,4877.21,3947.38,2626.95,2668.04,0,109.96,412.44,1070.36,1659.97,1605.64,1698.75,2180.52,2421.76,3264.91,3016.01,3140.79,2345.18,1515.82,1871.65
201804,20180402,1135067000,상계5동,0,45.08,244.24,826.61,831.97,1334.6,1351.28,1855.25,1903.19,2521.63,2537.63,2602.74,2453.97,1484.3,1432.37,0,67.64,268.5,800.69,1053.86,1148.35,1023.38,1362,1531.03,2174,1942.09,1818.38,1457.24,798.38,942.7
201804,20180402,1135069500,상계6.7동,0,190.91,1019.82,4030.94,5511.67,7144.82,8268.97,11644.94,10990.7,13505.81,13047.52,13112.94,12242.69,8032.74,7351.34,0,233.01,1062.93,4563.44,10639.8,6920.13,6628.81,8208.82,8529.27,10518.36,9140.51,8828.35,6604.27,3614.06,4247.05
201804,20180402,1135070000,상계8동,0,101.77,407.72,1070.54,1311.46,1953.54,2781.56,4068.84,3306.46,3966.94,3663.04,3548.2,3327.9,2034.04,2025.62,0,113.61,315.83,1017.06,1759.53,1829.48,2746.99,3154.72,2711.59,3180.26,2531.08,2574.1,2107.66,1083.53,1104.54
201804,20180402,1135071000,상계9동,0,85.37,246.27,969.95,885.5,1219.14,1428.28,2054.75,1860.8,2404.79,2194.64,2171.56,2109.95,1420.79,1261.5,0,94,280.72,837.44,1283.82,1162.03,1362.36,1742.5,1781.39,2095.17,1701.34,1656.19,1303.21,718.2,743.79
201804,20180402,1135072000,상계10동,0,50.51,280.8,1052.67,1263.33,1578.73,1812.78,2495.32,2225.77,2927.96,2731.97,2811.28,2687.05,1669.63,1518.81,0,59.83,275.64,1290.23,1649.56,1533.13,1421.44,1881.55,1871.97,2310.45,1931.06,1813.97,1418.85,688.13,762.78
201804,20180403,1111051500,청운효자동,0,65.56,378.82,1288.09,1417.84,2363.31,2710.82,3047.08,2930.84,3760.36,3215.5,3144.95,2738.42,1738.02,1651.64,0,93.33,444.59,1296.17,2104,1537.61,1751.96,2051.69,1949.87,2297.71,2007.32,1656.47,1408.03,759.81,989.26
201804,20180403,1111053000,사직동,0.03,126.29,780.34,2897.74,5202.62,9896.37,12336.07,16128.17,14970.02,18166.97,14886.92,13687.15,11482.68,7494.53,7991.41,0,197.35,953.93,4025.71,9901.93,12246.27,11814.74,11700.42,10142.25,10543,8033.78,6986.81,5721.23,3138.3,4279.18
201804,20180403,1111054000,삼청동,0,15.09,101.06,471.11,693.35,1327.66,1926.38,2370.7,2200.28,2814.97,2316.45,2285.8,1936.25,1364.05,1373.79,0,18.61,113.43,652.1,1278.12,1530.87,1540.9,1530.89,1485.33,1594.5,1280.03,1212.56,910.08,474.12,657.97
201804,20180403,1111055000,부암동,0.16,73.63,387.4,1636.07,2972.2,3633.42,3733.7,5592.8,5742.24,7199.23,6698.45,6523.48,5718.32,3523.85,3058,0,115.98,431.06,1894.92,3765.14,2046.66,2318.64,2932.03,3081.59,3932.76,3288.54,3126.8,2199.57,1155.89,1767
201804,20180403,1111056000,평창동,0.07,113.99,816.75,2399.75,4138.57,5591.08,5792.77,8046.57,8323.34,10369.94,9922.84,9865.92,9270.17,5573.07,5765.48,0,199.72,631.76,3712.51,4929.61,3765.17,4011.73,5144.62,5237.88,7004.73,5901.96,6047.53,4892.88,2631.77,3860.92
201804,20180403,1111057000,무악동,0,17.63,212.45,462.02,613.14,1045.98,1240.33,1672.77,1488.14,1839.76,1515.55,1481.08,1249.59,859.8,1033.64,0,19.2,172.11,529.79,1066.24,1218.84,1048.49,1233.25,1230.64,1360.72,1170.91,1082.97,939.14,571.29,696.63
201804,20180403,1111058000,교남동,0,42.01,202.1,619.69,811.07,1672.41,2044.26,2735.44,2610.34,3256.88,2848.96,2882.59,2421.92,1643.77,1724.24,0,51.27,211,778.38,1577.27,2005.15,1997.24,2162.41,2013.33,2223.99,1918.6,1790.31,1433.91,821.33,940.09
201804,20180403,1111060000,가회동,0,20.91,178.25,847.98,541.54,1436.61,2798.29,3153.89,2687.06,3029.95,2359.57,2065.77,1538.61,1061.63,979.75,0,39.61,185.81,621.57,1213.65,1370.58,1512.28,1571.91,1257.36,1451.66,1082.41,976.04,745.56,457.01,550.08
201804,20180403,1111061500,종로1.2.3.4가동,2.61,187.75,1507.04,6939.93,17157.48,32224.3,41460.25,52533.02,48682.35,54625.8,43570.5,38995.19,34186.55,23202.01,28475.82,0,230.83,1439.47,9224.52,30333.09,38163.61,34486.08,32400.33,26599.75,28308.55,22551.12,22116.64,17723.24,10677.33,13855.8
201804,20180403,1111063000,종로5.6가동,0.03,55.3,334.98,2258.08,5453.46,9383.84,10665.75,12993.31,11665.43,13166.74,11267.4,11407.48,10758.93,7011.53,8142.96,0,82.22,289.14,2690.98,9379.12,10730.27,8882.85,9118.65,7760.71,9046.03,7485.51,7413.76,6178.96,3768.92,4482.31
201804,20180403,1111064000,이화동,0,74.36,464.9,1563.41,3627.11,5478.78,5424.01,6330.24,5789.89,6470.43,5352.35,5315.76,4695.4,3228.82,3636.59,0,84.55,394.18,2106.8,6907.31,6892.38,5684.52,5672.84,5025.37,5354,4193.72,4257.04,3440.11,2118.92,2623.15
201804,20180403,1111065000,혜화동,0,79.59,588.78,2745.59,4547.41,6193.34,5960.15,6898.33,6528.98,7954.19,6927.58,6776.97,6339.1,4138.66,4104.47,0,110.2,567.4,3081.21,8508.84,6829.27,5386.82,5510.69,5069.18,5654.45,4463.32,4512.6,3553.84,2104.37,2788.33
201804,20180403,1111067000,창신1동,0.02,28.14,113.6,1039.65,2328,3588.78,3785.33,4619.44,4023.23,4646.48,4161.3,4507.83,4383.34,3131.72,3778.6,0,30.32,131.49,1155.22,3518.46,3457.82,2971.01,3193.96,2850.72,3052.51,2669.36,2835.63,2310.34,1530.46,2032.1
201804,20180403,1111068000,창신2동,0,8.41,40.19,318.94,738.46,1051.83,998.3,1187.72,1062.76,1236.4,1070.09,1106.08,1008.61,720.1,945.1,0,5.79,33.94,351.6,1024.84,1000.86,799.86,793.02,745.36,849.33,746.67,721.64,604.77,419.29,551.62
201804,20180403,1111069000,창신3동,0,4.95,46.66,261.75,568.02,696.44,662.68,800.75,690.61,746.92,596.84,577.86,509.6,357.87,322.07,0,8.82,47.06,404.81,898.86,771.12,596.4,616.71,477.25,510.37,394.23,389.57,272.09,186.15,229.65
