STD_YMD,dong,TMST
20180407,sanggye10,1983.412
20180408,cheongunhyoja,1498.391
20180408,sajik,5393.02
20180408,samcheong,1129.819
20180408,buam,2999.147
20180408,pyeongchang,5752.486
20180408,muak,751.335
20180408,gyonam,1106.53
20180408,gahoe,817.338
20180408,jongno1234,14765.498
20180408,jongno56,4019.652
20180408,ihwa,2772.45
20180408,hyehwa,3595.798
20180408,changsin1,1913.357
20180408,changsin2,515.324
20180408,changsin3,298.652
20180408,sungin1,921.025
20180408,sungin2,2696.97
20180408,wolgye1,2957.743
20180408,wolgye2,2048.279
20180408,wolgye3,3797.987
20180408,gongneung1,7296.691
20180408,gongneung2,6634.909
20180408,hagye1,3422.893
20180408,hagye2,2485.307
20180408,junggyebon,1363.272
20180408,junggye1,1792.437
20180408,junggye4,1583.3
20180408,junggye23,3550.998
20180408,sanggye1,5272.148
20180408,sanggye2,3702.251
20180408,sanggye34,2440.263
20180408,sanggye5,1365.389
20180408,sanggye67,6536.991
20180408,sanggye8,2011.452
20180408,sanggye9,1253.49
20180408,sanggye10,1528.864
20180409,cheongunhyoja,1998.224
20180409,sajik,9416.134
20180409,samcheong,1385.74
20180409,buam,3491.501
20180409,pyeongchang,5749.383
20180409,muak,1088.915
20180409,gyonam,1793.051
20180409,gahoe,1353.098
20180409,jongno1234,28412.567
20180409,jongno56,8134.493
20180409,ihwa,4472.013
20180409,hyehwa,4991.176
20180409,changsin1,2973.094
20180409,changsin2,783.282
20180409,changsin3,518.247
20180409,sungin1,1319.23
20180409,sungin2,4450.295
20180409,wolgye1,3813.757
20180409,wolgye2,2705.723
20180409,wolgye3,4548.671
20180409,gongneung1,8832.878
20180409,gongneung2,8539.718
20180409,hagye1,4212.225
20180409,hagye2,3060.532
20180409,junggyebon,1341.775
20180409,junggye1,1861.408
20180409,junggye4,1839.505
20180409,junggye23,4247.892
20180409,sanggye1,5425.079
20180409,sanggye2,4195.403
20180409,sanggye34,2564.5
20180409,sanggye5,1583.384
20180409,sanggye67,8295.261
20180409,sanggye8,2409.952
20180409,sanggye9,1525.057
20180409,sanggye10,1872.146
20180410,cheongunhyoja,2119.029
20180410,sajik,10063.659
20180410,samcheong,1513.29
20180410,buam,3771.461
20180410,pyeongchang,6136.849
20180410,muak,1108.514
20180410,gyonam,1894.532
20180410,gahoe,1514.943
20180410,jongno1234,29952.159
20180410,jongno56,8350.854
20180410,ihwa,4780.96
20180410,hyehwa,5378.275
20180410,changsin1,3111.681
20180410,changsin2,814.33
20180410,changsin3,559.998
20180410,sungin1,1396.178
20180410,sungin2,4643.454
20180410,wolgye1,3839.314
20180410,wolgye2,2763.08
20180410,wolgye3,4659.457
20180410,gongneung1,9118.704
20180410,gongneung2,8729.182
20180410,hagye1,4581.342
20180410,hagye2,3229.505
20180410,junggyebon,1417.392
20180410,junggye1,1925.411
20180410,junggye4,1878.163
20180410,junggye23,4357.433
20180410,sanggye1,5582.635
20180410,sanggye2,4251.086
20180410,sanggye34,2674.737
20180410,sanggye5,1622.708
20180410,sanggye67,8505.82
20180410,sanggye8,2510.674
20180410,sanggye9,1567.579
20180410,sanggye10,1946.787
20180411,cheongunhyoja,2157.208
20180411,sajik,9932.967
20180411,samcheong,1551.464
20180411,buam,3759.221
20180411,pyeongchang,6088.258
20180411,muak,1123.021
20180411,gyonam,1889.323
20180411,gahoe,1492.064
20180411,jongno1234,30152.227
20180411,jongno56,8590.36
20180411,ihwa,4818.445
20180411,hyehwa,5347.222
20180411,changsin1,3138.99
20180411,changsin2,837.923
20180411,changsin3,553.782
20180411,sungin1,1387.856
20180411,sungin2,4683.827
20180411,wolgye1,3880.085
20180411,wolgye2,2697.089
20180411,wolgye3,4674.475
20180411,gongneung1,9058.445
20180411,gongneung2,8843.652
20180411,hagye1,4352.766
20180411,hagye2,3128.899
20180411,junggyebon,1412.905
20180411,junggye1,1962.087
20180411,junggye4,1882.423
20180411,junggye23,4417.508
20180411,sanggye1,5675.848
20180411,sanggye2,4282.885
20180411,sanggye34,2611.418
20180411,sanggye5,1635.46
20180411,sanggye67,8550.225
20180411,sanggye8,2526.342
20180411,sanggye9,1548.565
20180411,sanggye10,1923.826
20180412,cheongunhyoja,2192.315
20180412,sajik,10377.73
20180412,samcheong,1548.564
20180412,buam,3702.226
20180412,pyeongchang,6118.648
20180412,muak,1187.999
20180412,gyonam,1901.673
20180412,gahoe,1533.124
20180412,jongno1234,30542.709
20180412,jongno56,8591.276
20180412,ihwa,4840.42
20180412,hyehwa,5429.93
20180412,changsin1,3160.476
20180412,changsin2,829.192
20180412,changsin3,548.245
20180412,sungin1,1402.987
20180412,sungin2,4715.6
20180412,wolgye1,3859.144
20180412,wolgye2,2786.114
20180412,wolgye3,4733.138
20180412,gongneung1,9128.715
20180412,gongneung2,9010.867
20180412,hagye1,4264.528
20180412,hagye2,3137.018
20180412,junggyebon,1409.912
20180412,junggye1,1926.66
20180412,junggye4,1919.967
20180412,junggye23,4406.355
20180412,sanggye1,5702.299
20180412,sanggye2,4362.108
20180412,sanggye34,2687.102
20180412,sanggye5,1621.536
20180412,sanggye67,8653.873
20180412,sanggye8,2553.239
20180412,sanggye9,1577.155
20180412,sanggye10,1974.191
20180413,cheongunhyoja,2282.681
20180413,sajik,10150.673
20180413,samcheong,1633.853
20180413,buam,3882.33
20180413,pyeongchang,6314.49
20180413,muak,1174.721
20180413,gyonam,1946.584
20180413,gahoe,1502.443
20180413,jongno1234,31268.397
20180413,jongno56,8781.245
20180413,ihwa,4840.817
20180413,hyehwa,5471.092
20180413,changsin1,3203.133
20180413,changsin2,860.918
20180413,changsin3,501.955
20180413,sungin1,1389.846
20180413,sungin2,4726.787
20180413,wolgye1,3963.006
20180413,wolgye2,2750.638
20180413,wolgye3,4787.967
20180413,gongneung1,9235.784
20180413,gongneung2,8445.16
20180413,hagye1,4359.019
20180413,hagye2,3215.118
20180413,junggyebon,1421.842
20180413,junggye1,1942.204
20180413,junggye4,1940.053
20180413,junggye23,4451.134
20180413,sanggye1,5772.574
20180413,sanggye2,4618.796
20180413,sanggye34,2769.97
20180413,sanggye5,1663.502
20180413,sanggye67,8824.787
20180413,sanggye8,2583.259
20180413,sanggye9,1584.772
20180413,sanggye10,2038.353
20180414,cheongunhyoja,1697.73
20180414,sajik,6958.513
20180414,samcheong,1261.162
20180414,buam,3317.534
20180414,pyeongchang,5485.876
20180414,muak,908.996
20180414,gyonam,1441.534
20180414,gahoe,891.6
20180414,jongno1234,20826.559
20180414,jongno56,6348.022
20180414,ihwa,3689.038
20180414,hyehwa,4525.566
20180414,changsin1,2482.769
20180414,changsin2,656.31
20180414,changsin3,372.538
20180414,sungin1,1168.436
20180414,sungin2,3509.084
20180414,wolgye1,3576.896
20180414,wolgye2,2347.508
20180414,wolgye3,4650.918
20180414,gongneung1,8400.938
20180414,gongneung2,6810.813
20180414,hagye1,3906.875
20180414,hagye2,2976.702
20180414,junggyebon,1466.718
20180414,junggye1,2154.77
20180414,junggye4,1731.742
20180414,junggye23,4233.197
20180414,sanggye1,5682.261
20180414,sanggye2,4515.81
20180414,sanggye34,2452.398
20180414,sanggye5,1544.72
20180414,sanggye67,7875.241
20180414,sanggye8,2297.64
20180414,sanggye9,1423.182
20180414,sanggye10,1900.924
20180415,cheongunhyoja,1677.056
20180415,sajik,5981.166
20180415,samcheong,1208.695
20180415,buam,3178.678
20180415,pyeongchang,6096.813
20180415,muak,805.005
20180415,gyonam,1289.067
20180415,gahoe,808.455
20180415,jongno1234,15953.638
20180415,jongno56,4324.876
20180415,ihwa,2958.202
20180415,hyehwa,3828.818
20180415,changsin1,2047.045
20180415,changsin2,517.337
20180415,changsin3,319.426
20180415,sungin1,959.377
20180415,sungin2,2912.906
20180415,wolgye1,3279.674
20180415,wolgye2,2409.346
20180415,wolgye3,4375.701
20180415,gongneung1,7593.5
20180415,gongneung2,7028.958
20180415,hagye1,3698.47
20180415,hagye2,2701.679
20180415,junggyebon,1406.662
20180415,junggye1,1930.058
20180415,junggye4,1687.968
20180415,junggye23,3744.552
20180415,sanggye1,5618.663
20180415,sanggye2,3853.225
20180415,sanggye34,2628.938
20180415,sanggye5,1464.987
20180415,sanggye67,6799.505
20180415,sanggye8,2050.11
20180415,sanggye9,1282.615
20180415,sanggye10,1594.784
20180416,cheongunhyoja,2124.281
20180416,sajik,9712.168
20180416,samcheong,1463.515
20180416,buam,3644.214
20180416,pyeongchang,6050.753
20180416,muak,1103.209
20180416,gyonam,1792.741
20180416,gahoe,1409.954
20180416,jongno1234,29289.4
20180416,jongno56,8269.484
20180416,ihwa,4505.939
20180416,hyehwa,5072.92
20180416,changsin1,3083.037
20180416,changsin2,811.921
20180416,changsin3,547.995
20180416,sungin1,1361.945
20180416,sungin2,4574.292
20180416,wolgye1,3814.824
20180416,wolgye2,2684.401
20180416,wolgye3,4633.05
20180416,gongneung1,9051.259
20180416,gongneung2,8454.136
20180416,hagye1,4333.54
20180416,hagye2,3099.928
20180416,junggyebon,1347.837
20180416,junggye1,1873.607
20180416,junggye4,1870.835
20180416,junggye23,4261.638
20180416,sanggye1,5573.109
20180416,sanggye2,4098.779
20180416,sanggye34,2699.87
20180416,sanggye5,1614.11
20180416,sanggye67,8274.565
20180416,sanggye8,2442.41
20180416,sanggye9,1500.96
20180416,sanggye10,1876.447
20180417,cheongunhyoja,2181.827
20180417,sajik,10299.272
20180417,samcheong,1517.81
20180417,buam,3793.815
20180417,pyeongchang,6178.288
20180417,muak,1079.925
20180417,gyonam,1869.128
20180417,gahoe,1501.723
20180417,jongno1234,30373.865
20180417,jongno56,8500.258
20180417,ihwa,4616.829
20180417,hyehwa,5328.023
20180417,changsin1,3201.647
20180417,changsin2,844.954
20180417,changsin3,564.444
20180417,sungin1,1419.4
20180417,sungin2,4750.956
20180417,wolgye1,3761.396
20180417,wolgye2,2773.242
20180417,wolgye3,4701.986
20180417,gongneung1,9049.791
20180417,gongneung2,8573.592
20180417,hagye1,4623.277
20180417,hagye2,3232.509
20180417,junggyebon,1379.16
20180417,junggye1,1902.483
20180417,junggye4,1883.148
20180417,junggye23,4320.943
20180417,sanggye1,5606.788
20180417,sanggye2,4290.298
20180417,sanggye34,2720.838
20180417,sanggye5,1615.212
20180417,sanggye67,8531.662
20180417,sanggye8,2523.193
20180417,sanggye9,1568.292
20180417,sanggye10,1937.045
20180418,cheongunhyoja,2239.459
20180418,sajik,10255.99
20180418,samcheong,1570.06
20180418,buam,3769.734
20180418,pyeongchang,6159.045
20180418,muak,1167.449
20180418,gyonam,1943.87
20180418,gahoe,1480.21
20180418,jongno1234,30582.113
20180418,jongno56,8533.598
20180418,ihwa,4638.513
20180418,hyehwa,5332.935
20180418,changsin1,3120.359
20180418,changsin2,825.884
20180418,changsin3,524.848
20180418,sungin1,1361.651
20180418,sungin2,4632.665
20180418,wolgye1,3822.762
20180418,wolgye2,2706.35
20180418,wolgye3,4573.972
20180418,gongneung1,8981.831
20180418,gongneung2,8749.385
20180418,hagye1,4449.467
20180418,hagye2,3205.822
20180418,junggyebon,1412.84
20180418,junggye1,1935.655
20180418,junggye4,1925.0
20180418,junggye23,4447.449
20180418,sanggye1,5876.442
20180418,sanggye2,4330.589
20180418,sanggye34,2742.756
20180418,sanggye5,1648.937
20180418,sanggye67,8798.327
20180418,sanggye8,2593.045
20180418,sanggye9,1627.497
20180418,sanggye10,1941.432
20180419,cheongunhyoja,2240.826
20180419,sajik,10486.904
20180419,samcheong,1515.108
20180419,buam,3686.468
20180419,pyeongchang,6044.339
20180419,muak,1197.304
20180419,gyonam,1962.724
20180419,gahoe,1461.88
20180419,jongno1234,30373.896
20180419,jongno56,8378.765
20180419,ihwa,4685.5
20180419,hyehwa,5317.805
20180419,changsin1,3104.058
20180419,changsin2,813.347
20180419,changsin3,509.529
20180419,sungin1,1366.337
20180419,sungin2,4613.44
20180419,wolgye1,3829.645
20180419,wolgye2,2655.472
20180419,wolgye3,4532.683
20180419,gongneung1,8939.605
20180419,gongneung2,8748.846
20180419,hagye1,4381.801
20180419,hagye2,3126.162
20180419,junggyebon,1405.945
20180419,junggye1,1952.513
20180419,junggye4,1862.886
20180419,junggye23,4331.88
20180419,sanggye1,5883.205
20180419,sanggye2,4263.8
20180419,sanggye34,2670.801
20180419,sanggye5,1622.335
20180419,sanggye67,8776.238
20180419,sanggye8,2558.188
20180419,sanggye9,1654.325
20180419,sanggye10,1943.291
20180420,cheongunhyoja,2280.025
20180420,sajik,10523.295
20180420,samcheong,1575.054
20180420,buam,3833.687
20180420,pyeongchang,6245.389
20180420,muak,1175.651
20180420,gyonam,1994.12
20180420,gahoe,1462.214
20180420,jongno1234,30720.922
20180420,jongno56,8535.518
20180420,ihwa,4750.785
20180420,hyehwa,5372.586
20180420,changsin1,3154.487
20180420,changsin2,825.073
20180420,changsin3,524.979
20180420,sungin1,1393.459
20180420,sungin2,4689.428
20180420,wolgye1,3869.058
20180420,wolgye2,2718.47
20180420,wolgye3,4687.669
20180420,gongneung1,9061.95
20180420,gongneung2,8367.444
20180420,hagye1,4396.03
20180420,hagye2,3213.08
20180420,junggyebon,1440.33
20180420,junggye1,2000.514
20180420,junggye4,1888.881
20180420,junggye23,4475.885
20180420,sanggye1,5996.605
20180420,sanggye2,4595.368
20180420,sanggye34,2788.042
20180420,sanggye5,1674.416
20180420,sanggye67,8977.545
20180420,sanggye8,2639.544
20180420,sanggye9,1689.305
20180420,sanggye10,2030.134
20180421,cheongunhyoja,2008.425
20180421,sajik,7755.256
20180421,samcheong,1534.425
20180421,buam,3992.012
20180421,pyeongchang,6981.839
20180421,muak,1036.535
20180421,gyonam,1585.246
20180421,gahoe,1089.099
20180421,jongno1234,23603.863
20180421,jongno56,6913.486
20180421,ihwa,4072.818
20180421,hyehwa,4766.554
20180421,changsin1,2775.452
20180421,changsin2,727.712
20180421,changsin3,411.549
20180421,sungin1,1302.867
20180421,sungin2,3958.086
20180421,wolgye1,3947.153
20180421,wolgye2,2589.747
20180421,wolgye3,5006.215
20180421,gongneung1,9248.578
20180421,gongneung2,8655.42
20180421,hagye1,4141.324
20180421,hagye2,3160.842
20180421,junggyebon,1623.225
20180421,junggye1,2291.428
20180421,junggye4,1861.703
20180421,junggye23,4580.489
20180421,sanggye1,6788.571
20180421,sanggye2,4664.133
20180421,sanggye34,2944.742
20180421,sanggye5,1664.636
20180421,sanggye67,8579.058
20180421,sanggye8,2580.025
20180421,sanggye9,1576.147
20180421,sanggye10,2019.171
20180422,cheongunhyoja,1430.774
20180422,sajik,5183.598
20180422,samcheong,994.907
20180422,buam,2854.65
20180422,pyeongchang,5361.895
20180422,muak,725.639
20180422,gyonam,1140.747
20180422,gahoe,698.914
20180422,jongno1234,14120.254
20180422,jongno56,3895.815
20180422,ihwa,2650.366
20180422,hyehwa,3631.594
20180422,changsin1,1896.866
20180422,changsin2,487.303
20180422,changsin3,285.887
20180422,sungin1,890.926
20180422,sungin2,2659.383
20180422,wolgye1,2947.842
20180422,wolgye2,2058.521
20180422,wolgye3,3717.927
20180422,gongneung1,7078.041
20180422,gongneung2,6590.354
20180422,hagye1,3569.34
20180422,hagye2,2505.31
20180422,junggyebon,1330.224
20180422,junggye1,1836.645
20180422,junggye4,1495.774
20180422,junggye23,3548.385
20180422,sanggye1,5218.312
20180422,sanggye2,3633.108
20180422,sanggye34,2362.3
20180422,sanggye5,1366.651
20180422,sanggye67,6589.866
20180422,sanggye8,2001.422
20180422,sanggye9,1252.205
20180422,sanggye10,1510.51
20180423,cheongunhyoja,1831.663
20180423,sajik,8868.925
20180423,samcheong,1219.956
20180423,buam,3272.572
20180423,pyeongchang,5304.211
20180423,muak,983.738
20180423,gyonam,1664.752
20180423,gahoe,1262.267
20180423,jongno1234,26193.16
20180423,jongno56,7269.587
20180423,ihwa,4066.844
20180423,hyehwa,4690.591
20180423,changsin1,2668.135
20180423,changsin2,693.367
20180423,changsin3,523.991
20180423,sungin1,1274.515
20180423,sungin2,4107.43
20180423,wolgye1,3525.647
20180423,wolgye2,2548.811
20180423,wolgye3,4418.028
20180423,gongneung1,8298.818
20180423,gongneung2,7420.028
20180423,hagye1,4036.456
20180423,hagye2,2978.377
20180423,junggyebon,1286.398
20180423,junggye1,1857.694
20180423,junggye4,1666.557
20180423,junggye23,4073.47
20180423,sanggye1,5375.475
20180423,sanggye2,3950.168
20180423,sanggye34,2366.998
20180423,sanggye5,1447.938
20180423,sanggye67,8215.731
20180423,sanggye8,2522.812
20180423,sanggye9,1595.178
20180423,sanggye10,1885.816
20180424,cheongunhyoja,2099.388
20180424,sajik,10089.097
20180424,samcheong,1463.021
20180424,buam,3566.06
20180424,pyeongchang,5827.973
20180424,muak,1139.621
20180424,gyonam,1847.282
20180424,gahoe,1452.505
20180424,jongno1234,29541.89
20180424,jongno56,8358.448
20180424,ihwa,4594.77
20180424,hyehwa,5191.53
20180424,changsin1,3100.478
20180424,changsin2,821.471
20180424,changsin3,572.615
20180424,sungin1,1406.608
20180424,sungin2,4657.613
20180424,wolgye1,3813.292
20180424,wolgye2,2649.302
20180424,wolgye3,4465.044
20180424,gongneung1,8787.097
20180424,gongneung2,8166.957
20180424,hagye1,4603.135
20180424,hagye2,3226.857
20180424,junggyebon,1375.121
20180424,junggye1,1955.541
20180424,junggye4,1808.248
20180424,junggye23,4285.808
20180424,sanggye1,5734.368
20180424,sanggye2,4269.159
20180424,sanggye34,2611.437
20180424,sanggye5,1603.106
20180424,sanggye67,8567.985
20180424,sanggye8,2566.094
20180424,sanggye9,1649.595
20180424,sanggye10,1921.701
20180425,cheongunhyoja,2316.758
20180425,sajik,10485.958
20180425,samcheong,1666.71
20180425,buam,3776.255
20180425,pyeongchang,6239.702
20180425,muak,1193.23
20180425,gyonam,1987.41
20180425,gahoe,1508.066
20180425,jongno1234,31080.691
20180425,jongno56,8602.508
20180425,ihwa,4866.956
20180425,hyehwa,5513.955
20180425,changsin1,3219.673
20180425,changsin2,871.745
20180425,changsin3,524.64
20180425,sungin1,1376.916
20180425,sungin2,4708.268
20180425,wolgye1,3887.273
20180425,wolgye2,2695.656
20180425,wolgye3,4636.472
20180425,gongneung1,9168.878
20180425,gongneung2,8610.165
20180425,hagye1,4580.13
20180425,hagye2,3275.725
20180425,junggyebon,1415.069
20180425,junggye1,2021.872
20180425,junggye4,1895.376
20180425,junggye23,4577.342
20180425,sanggye1,6118.292
20180425,sanggye2,4358.99
20180425,sanggye34,2694.515
20180425,sanggye5,1652.043
20180425,sanggye67,8944.84
20180425,sanggye8,2709.548
20180425,sanggye9,1701.94
20180425,sanggye10,2009.435
20180426,cheongunhyoja,2242.168
20180426,sajik,10462.34
20180426,samcheong,1614.961
20180426,buam,3720.121
20180426,pyeongchang,6254.788
20180426,muak,1182.974
20180426,gyonam,1963.908
20180426,gahoe,1535.928
20180426,jongno1234,31472.788
20180426,jongno56,8666.788
20180426,ihwa,4821.97
20180426,hyehwa,5416.838
20180426,changsin1,3244.267
20180426,changsin2,852.265
20180426,changsin3,529.299
20180426,sungin1,1421.444
20180426,sungin2,4754.546
20180426,wolgye1,3884.332
20180426,wolgye2,2749.47
20180426,wolgye3,4640.056
20180426,gongneung1,9023.969
20180426,gongneung2,8568.115
20180426,hagye1,4503.783
20180426,hagye2,3254.213
20180426,junggyebon,1417.589
20180426,junggye1,2012.147
20180426,junggye4,1890.309
20180426,junggye23,4576.859
20180426,sanggye1,6009.714
20180426,sanggye2,4481.012
20180426,sanggye34,2717.645
20180426,sanggye5,1655.742
20180426,sanggye67,8905.932
20180426,sanggye8,2636.72
20180426,sanggye9,1692.665
20180426,sanggye10,1999.583
20180427,cheongunhyoja,2325.042
20180427,sajik,10909.002
20180427,samcheong,1643.175
20180427,buam,3865.087
20180427,pyeongchang,6287.976
20180427,muak,1217.045
20180427,gyonam,2033.652
20180427,gahoe,1537.282
20180427,jongno1234,32217.159
20180427,jongno56,8864.549
20180427,ihwa,4936.711
20180427,hyehwa,5715.795
20180427,changsin1,3258.858
20180427,changsin2,860.131
20180427,changsin3,550.381
20180427,sungin1,1424.917
20180427,sungin2,4785.075
20180427,wolgye1,3942.717
20180427,wolgye2,2732.565
20180427,wolgye3,4695.469
20180427,gongneung1,9065.684
20180427,gongneung2,8323.57
20180427,hagye1,4457.302
20180427,hagye2,3223.747
20180427,junggyebon,1438.721
20180427,junggye1,2053.272
20180427,junggye4,1925.299
20180427,junggye23,4605.727
20180427,sanggye1,6049.156
20180427,sanggye2,4713.104
20180427,sanggye34,2775.125
20180427,sanggye5,1683.216
20180427,sanggye67,9095.533
20180427,sanggye8,2660.854
